product_id,product_name,category,machine_type,brand,model_compatibility,unit_cost,unit_price,margin_percentage,gst_rate,weight_kg,dimensions_cm,material_type,warranty_months,reorder_level,safety_stock,max_stock_level,lead_time_days,criticality_level,usage_frequency,uom,last_purchase_price,last_purchase_date
P001,Hydraulic Pump HP-300,Hydraulic,Excavator,CAT,CAT 320D,18950,24500,29.2,28,38.5,40x25x25,steel,12,15,10,40,21,High,Medium,piece,18500,2019-03-15
P002,Engine Oil Filter OF-90,Filters,Loader,JCB,JCB 3DX,450,720,60.0,18,0.4,10x8x8,paper,6,80,40,200,7,Medium,High,piece,430,2019-07-22
P003,Air Filter AF-120,Filters,Excavator,Komatsu,Komatsu PC210,820,1250,52.4,18,0.8,18x12x12,synthetic,6,60,30,150,7,Medium,High,piece,800,2020-01-10
P004,Track Chain TC-45,Undercarriage,Bulldozer,Volvo,Volvo D6,32500,39800,22.5,28,210.0,180x40x35,steel,18,8,4,20,30,High,Low,set,32000,2020-06-18
P005,Fuel Injector FI-220,Engine,Excavator,Tata Hitachi,Tata Hitachi EX 200,6350,8450,33.0,28,1.2,20x12x12,alloy,12,30,15,80,18,High,Medium,piece,6200,2020-11-05
P006,Alternator ALT-500,Electrical,Loader,CAT,CAT 950H,8650,11200,29.5,28,9.5,30x20x20,alloy,12,12,6,30,20,High,Medium,piece,8400,2021-02-14
P007,Hydraulic Hose HH-60,Hydraulic,Crane,JCB,JCB 160,980,1450,48.0,18,1.1,90x4x4,rubber,6,70,35,200,10,Medium,High,piece,950,2021-05-27
P008,Bucket Tooth BT-10,Attachments,Excavator,Komatsu,Komatsu PC130,340,580,70.6,18,0.3,12x6x4,steel,6,120,60,300,12,Low,High,piece,320,2021-08-09
P009,Starter Motor SM-700,Electrical,Dumper,Volvo,Volvo A40,11450,14900,30.1,28,11.0,32x18x18,alloy,12,10,5,25,22,High,Medium,piece,11000,2021-11-30
P010,Turbocharger TB-900,Engine,Excavator,CAT,CAT 336D,28900,34900,20.8,28,16.5,40x25x25,alloy,18,6,3,15,28,High,Medium,piece,28000,2022-03-12
P011,Hydraulic Cylinder HC-200,Hydraulic,Excavator,Tata Hitachi,Tata Hitachi EX 210,21500,27600,28.4,28,42.0,120x18x18,steel,12,10,5,25,24,High,Medium,piece,21000,2022-06-25
P012,Brake Pad BP-40,Brakes,Loader,JCB,JCB 430ZX,1800,2450,36.1,28,3.2,20x12x10,composite,6,40,20,120,10,Medium,Medium,set,1750,2022-09-08
P013,Seal Kit SK-15,Seals,Excavator,CAT,CAT 320D,950,1450,52.6,18,0.6,15x10x6,rubber,6,80,40,200,9,Medium,High,set,920,2022-12-19
